Reference,Value,Description,Package,Quantity,Manufacturer,MPN,Mouser PN,Note
"U1","ESP32-WROOM-32","MCU WiFi+BT Module","Module",1,"Espressif","ESP32-WROOM-32E (4MB)","356-ESP32-WROOM-32E",""
"U2","ADS1115","ADC 16bit 4ch I2C","SOIC-8",1,"Texas Instruments","ADS1115IDGSR","595-ADS1115IDGSR","Sonde NTC"
"U3","AMS1117-3.3","LDO 3.3V 1A","SOT-223",1,"Advanced Monolithic","AMS1117-3.3","522-AMS1117-3.3","Da 5V a 3.3V"
"U4","HLK-PM01","AC-DC 230V->5V 3W","Module",1,"Hi-Link","HLK-PM01","","230VAC -> 5VDC"
"K1","G5LE-1-DC5","Relay SPDT 5V 10A","PCB",1,"Omron","G5LE-1-DC5","653-G5LE-1-DC5","OUT1 Compressore"
"K2","G5LE-1-DC5","Relay SPDT 5V 10A","PCB",1,"Omron","G5LE-1-DC5","653-G5LE-1-DC5","OUT2 Valvola acqua"
"K3","G5LE-1-DC5","Relay SPDT 5V 10A","PCB",1,"Omron","G5LE-1-DC5","653-G5LE-1-DC5","OUT3 Ventilatore vel.1"
"K4","G5LE-1-DC5","Relay SPDT 5V 10A","PCB",1,"Omron","G5LE-1-DC5","653-G5LE-1-DC5","OUT4 Ventilatore vel.2"
"K5","G5LE-1-DC5","Relay SPDT 5V 10A","PCB",1,"Omron","G5LE-1-DC5","653-G5LE-1-DC5","OUT5 Ventilatore vel.3"
"Q1","BC817","NPN transistor driver relay","SOT-23",1,"Nexperia","BC817-40","771-BC817-40","Driver K1 compressore"
"Q2","BC817","NPN transistor driver relay","SOT-23",1,"Nexperia","BC817-40","771-BC817-40","Driver K2 valvola"
"Q3","BC817","NPN transistor driver relay","SOT-23",1,"Nexperia","BC817-40","771-BC817-40","Driver K3 vent vel.1"
"Q4","BC817","NPN transistor driver relay","SOT-23",1,"Nexperia","BC817-40","771-BC817-40","Driver K4 vent vel.2"
"Q5","BC817","NPN transistor driver relay","SOT-23",1,"Nexperia","BC817-40","771-BC817-40","Driver K5 vent vel.3"
"D1","1N4007","Flyback diode relay K1","SMA (DO-214AC)",1,"Vishay","1N4007-E3/54","757-1N4007-E3/54","Flyback bobina K1"
"D2","1N4007","Flyback diode relay K2","SMA (DO-214AC)",1,"Vishay","1N4007-E3/54","757-1N4007-E3/54","Flyback bobina K2"
"D3","1N4007","Flyback diode relay K3","SMA (DO-214AC)",1,"Vishay","1N4007-E3/54","757-1N4007-E3/54","Flyback bobina K3"
"D4","1N4007","Flyback diode relay K4","SMA (DO-214AC)",1,"Vishay","1N4007-E3/54","757-1N4007-E3/54","Flyback bobina K4"
"D5","1N4007","Flyback diode relay K5","SMA (DO-214AC)",1,"Vishay","1N4007-E3/54","757-1N4007-E3/54","Flyback bobina K5"
"D6","P6KE250CA","TVS bidirezionale 250V AC","DO-204AC (DO-15)",1,"Vishay","P6KE250CA","757-P6KE250CA","Clamp AC OUT1 compressore"
"D7","P6KE250CA","TVS bidirezionale 250V AC","DO-204AC (DO-15)",1,"Vishay","P6KE250CA","757-P6KE250CA","Clamp AC OUT2 valvola"
"D8","P6KE250CA","TVS bidirezionale 250V AC","DO-204AC (DO-15)",1,"Vishay","P6KE250CA","757-P6KE250CA","Clamp AC OUT3 vent vel.1"
"D9","P6KE250CA","TVS bidirezionale 250V AC","DO-204AC (DO-15)",1,"Vishay","P6KE250CA","757-P6KE250CA","Clamp AC OUT4 vent vel.2"
"D10","P6KE250CA","TVS bidirezionale 250V AC","DO-204AC (DO-15)",1,"Vishay","P6KE250CA","757-P6KE250CA","Clamp AC OUT5 vent vel.3"
"D11","SMAJ3V3A","TVS unidirezionale 3.3V ingresso ID1","SMA (DO-214AC)",1,"Vishay","SMAJ3V3A-E3/61","757-SMAJ3V3A-E3/61","Protezione GPIO ID1 pressostato"
"D12","SMAJ3V3A","TVS unidirezionale 3.3V ingresso ID2","SMA (DO-214AC)",1,"Vishay","SMAJ3V3A-E3/61","757-SMAJ3V3A-E3/61","Protezione GPIO ID2 consenso integrazione"
"D13","SMAJ3V3A","TVS unidirezionale 3.3V ingresso ID3","SMA (DO-214AC)",1,"Vishay","SMAJ3V3A-E3/61","757-SMAJ3V3A-E3/61","Protezione GPIO ID3 consenso deumidificazione"
"D14","SMAJ3V3A","TVS unidirezionale 3.3V ingresso ID4","SMA (DO-214AC)",1,"Vishay","SMAJ3V3A-E3/61","757-SMAJ3V3A-E3/61","Protezione GPIO ID4 consenso ventilazione"
"RV1","S20K275","MOV 275VAC ingresso rete","Disc 20mm",1,"Littelfuse","V275LA20AP","576-V275LA20AP","Protezione sovratensioni rete F-N"
"R1","100","Res serie ingresso ID1","0402",1,"","","","Debounce + limita corrente TVS"
"R2","100","Res serie ingresso ID2","0402",1,"","","","Debounce + limita corrente TVS"
"R3","100","Res serie ingresso ID3","0402",1,"","","","Debounce + limita corrente TVS"
"R4","100","Res serie ingresso ID4","0402",1,"","","","Debounce + limita corrente TVS"
"R5","1k","Base resistor Q1","0402",1,"","","","Driver transistor K1"
"R6","1k","Base resistor Q2","0402",1,"","","","Driver transistor K2"
"R7","1k","Base resistor Q3","0402",1,"","","","Driver transistor K3"
"R8","1k","Base resistor Q4","0402",1,"","","","Driver transistor K4"
"R9","1k","Base resistor Q5","0402",1,"","","","Driver transistor K5"
"R10","10k","NTC pullup S1 evaporatore","0402",1,"","","","Partitore verso 3.3V per ADS1115"
"R11","10k","NTC pullup S2 acqua","0402",1,"","","","Partitore verso 3.3V per ADS1115"
"R12","100","Snubber R OUT1","0603 250V",1,"","","","Snubber RC compressore - usa resistore a film metallico rated 250V"
"R13","100","Snubber R OUT2","0603 250V",1,"","","","Snubber RC valvola acqua"
"R14","100","Snubber R OUT3","0603 250V",1,"","","","Snubber RC vent vel.1"
"R15","100","Snubber R OUT4","0603 250V",1,"","","","Snubber RC vent vel.2"
"R16","100","Snubber R OUT5","0603 250V",1,"","","","Snubber RC vent vel.3"
"C1","100n 275VAC X2","Snubber C OUT1","X2 Classe X2",1,"KEMET","R463I310050M1K","80-R463I310050M1K","Snubber condensatore compressore - DEVE essere X2"
"C2","100n 275VAC X2","Snubber C OUT2","X2 Classe X2",1,"KEMET","R463I310050M1K","80-R463I310050M1K","Snubber condensatore valvola acqua"
"C3","100n 275VAC X2","Snubber C OUT3","X2 Classe X2",1,"KEMET","R463I310050M1K","80-R463I310050M1K","Snubber condensatore vent vel.1"
"C4","100n 275VAC X2","Snubber C OUT4","X2 Classe X2",1,"KEMET","R463I310050M1K","80-R463I310050M1K","Snubber condensatore vent vel.2"
"C5","100n 275VAC X2","Snubber C OUT5","X2 Classe X2",1,"KEMET","R463I310050M1K","80-R463I310050M1K","Snubber condensatore vent vel.3"
"C6","100n","Filtro debounce ID1","0402",1,"","","",""
"C7","100n","Filtro debounce ID2","0402",1,"","","",""
"C8","100n","Filtro debounce ID3","0402",1,"","","",""
"C9","100n","Filtro debounce ID4","0402",1,"","","",""
"C10","100u 10V","Bulk cap 5V","Electrolytic 5mm",1,"","","","Dopo HLK-PM01"
"C11","10u 10V","Bulk cap 3.3V","0805",1,"","","","Dopo AMS1117"
"C12","100n","Bypass ADS1115 VDD","0402",1,"","","",""
"C13","100n","Bypass ESP32 3.3V","0402",1,"","","",""
"F1","500mA 250V","Fusibile ingresso 230V HLK","5x20mm",1,"Littelfuse","0215.500MXP","576-0215.500MXP","Protezione alimentatore"
"F2","6.3A 250V","Fusibile uscite relè 230V","5x20mm",1,"Littelfuse","0215006.MXP","576-0215006.MXP","Protezione uscite carichi"
"J1","Phoenix 5.08 2p","Ingresso 230V F+N","MSTBA 2/1-G-5.08",1,"Phoenix Contact","1757242","651-1757242","Ingresso rete"
